County Name,Rural_Status,FIPS_State,FIPS_County,County Name - Long,State Name,
Alamance,2,37,001,Alamance County, North Carolina,
Alexander,1,37,003,Alexander County, North Carolina,
Alleghany,1,37,005,Alleghany County, North Carolina,
Anson,1,37,007,Anson County, North Carolina,
Ashe,1,37,009,Ashe County, North Carolina,
Avery,1,37,011,Avery County, North Carolina,
Beaufort,1,37,013,Beaufort County, North Carolina,
Bertie,1,37,015,Bertie County, North Carolina,
Bladen,1,37,017,Bladen County, North Carolina,
Brunswick,1,37,019,Brunswick County, North Carolina,
Buncombe,2,37,021,Buncombe County, North Carolina,
Burke,1,37,023,Burke County, North Carolina,
Cabarrus,2,37,025,Cabarrus County, North Carolina,
Caldwell,1,37,027,Caldwell County, North Carolina,
Camden,1,37,029,Camden County, North Carolina,
Carteret,1,37,031,Carteret County, North Carolina,
Caswell,1,37,033,Caswell County, North Carolina,
Catawba,2,37,035,Catawba County, North Carolina,
Chatham,1,37,037,Chatham County, North Carolina,
Cherokee,1,37,039,Cherokee County, North Carolina,
Chowan,1,37,041,Chowan County, North Carolina,
Clay,1,37,043,Clay County, North Carolina,
Cleveland,1,37,045,Cleveland County, North Carolina,
Columbus,1,37,047,Columbus County, North Carolina,
Craven,1,37,049,Craven County, North Carolina,
Cumberland,2,37,051,Cumberland County, North Carolina,
Currituck,1,37,053,Currituck County, North Carolina,
Dare,1,37,055,Dare County, North Carolina,
Davidson,2,37,057,Davidson County, North Carolina,
Davie,1,37,059,Davie County, North Carolina,
Duplin,1,37,061,Duplin County, North Carolina,
Durham,3,37,063,Durham County, North Carolina,
Edgecombe,1,37,065,Edgecombe County, North Carolina,
Forsyth,3,37,067,Forsyth County, North Carolina,
Franklin,1,37,069,Franklin County, North Carolina,
Gaston,2,37,071,Gaston County, North Carolina,
Gates,1,37,073,Gates County, North Carolina,
Graham,1,37,075,Graham County, North Carolina,
Granville,1,37,077,Granville County, North Carolina,
Greene,1,37,079,Greene County, North Carolina,
Guilford,3,37,081,Guilford County, North Carolina,
Halifax,1,37,083,Halifax County, North Carolina,
Harnett,1,37,085,Harnett County, North Carolina,
Haywood,1,37,087,Haywood County, North Carolina,
Henderson,2,37,089,Henderson County, North Carolina,
Hertford,1,37,091,Hertford County, North Carolina,
Hoke,1,37,093,Hoke County, North Carolina,
Hyde,1,37,095,Hyde County, North Carolina,
Iredell,2,37,097,Iredell County, North Carolina,
Jackson,1,37,099,Jackson County, North Carolina,
Johnston,2,37,101,Johnston County, North Carolina,
Jones,1,37,103,Jones County, North Carolina,
Lee,1,37,105,Lee County, North Carolina,
Lenoir,1,37,107,Lenoir County, North Carolina,
Lincoln,2,37,109,Lincoln County, North Carolina,
Macon,1,37,113,Macon County, North Carolina,
Madison,1,37,115,Madison County, North Carolina,
Martin,1,37,117,Martin County, North Carolina,
McDowell,1,37,111,McDowell County, North Carolina,
Mecklenburg,3,37,119,Mecklenburg County, North Carolina,
Mitchell,1,37,121,Mitchell County, North Carolina,
Montgomery,1,37,123,Montgomery County, North Carolina,
Moore,1,37,125,Moore County, North Carolina,
Nash,1,37,127,Nash County, North Carolina,
New Hanover,3,37,129,New Hanover County, North Carolina,
Northampton,1,37,131,Northampton County, North Carolina,
Onslow,2,37,133,Onslow County, North Carolina,
Orange,2,37,135,Orange County, North Carolina,
Pamlico,1,37,137,Pamlico County, North Carolina,
Pasquotank,1,37,139,Pasquotank County, North Carolina,
Pender,1,37,141,Pender County, North Carolina,
Perquimans,1,37,143,Perquimans County, North Carolina,
Person,1,37,145,Person County, North Carolina,
Pitt,2,37,147,Pitt County, North Carolina,
Polk,1,37,149,Polk County, North Carolina,
Randolph,1,37,151,Randolph County, North Carolina,
Richmond,1,37,153,Richmond County, North Carolina,
Robeson,1,37,155,Robeson County, North Carolina,
Rockingham,1,37,157,Rockingham County, North Carolina,
Rowan,2,37,159,Rowan County, North Carolina,
Rutherford,1,37,161,Rutherford County, North Carolina,
Sampson,1,37,163,Sampson County, North Carolina,
Scotland,1,37,165,Scotland County, North Carolina,
Stanly,1,37,167,Stanly County, North Carolina,
Stokes,1,37,169,Stokes County, North Carolina,
Surry,1,37,171,Surry County, North Carolina,
Swain,1,37,173,Swain County, North Carolina,
Transylvania,1,37,175,Transylvania County, North Carolina,
Tyrrell,1,37,177,Tyrrell County, North Carolina,
Union,2,37,179,Union County, North Carolina,
Vance,1,37,181,Vance County, North Carolina,
Wake,3,37,183,Wake County, North Carolina,
Warren,1,37,185,Warren County, North Carolina,
Washington,1,37,187,Washington County, North Carolina,
Watauga,1,37,189,Watauga County, North Carolina,
Wayne,1,37,191,Wayne County, North Carolina,
Wilkes,1,37,193,Wilkes County, North Carolina,
Wilson,1,37,195,Wilson County, North Carolina,
Yadkin,1,37,197,Yadkin County, North Carolina,
Yancey,1,37,199,Yancey County, North Carolina,
